Manchester City|Manchester City Football Club is a football club in Manchester, England.
Liverpool FC|Liverpool Football Club () is a professional association football club based in Liverpool, Merseyside, England.
Manchester United|Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football.
Arsenal|An arsenal is a place where arms and ammunition are made, maintained and repaired, stored, or issued, in any combination, whether privately or publicly owned.
U.S. Soccer|The United States Soccer Federation (USSF), commonly referred to as U.S. Soccer, is a 501(c)(3) nonprofit organization and the official governing body of the sport of soccer in the United States.
Liverpool FC Online|The Liverpool F.C.–Manchester United F.C. rivalry, also known as the North-West Derby, is a high-profile inter-city rivalry between English professional football clubs Liverpool and Manchester United.
Liverpool FC YNWA|Nicky Allt (born 12 December 1960, Liverpool, Merseyside, England) is an English playwright, Author and Filmmaker.
Indian Football Team|The India national football team represents India in international football and is controlled by the All India Football Federation.
Pune FC|Pune Football Club was an Indian professional football club based in Pune, Maharashtra.
Chennai Titans|Chennaiyin FC (CFC) is an Indian Super League football club based in Chennai, Tamil Nadu.
Chennai Super Kings|The Chennai Super Kings (abbreviated as CSK) are a franchise cricket team based in Chennai, Tamil Nadu (India), which plays in the Indian Premier League (IPL).
Kolkata Knight Riders|The Kolkata Knight Riders (also known by the acronym KKR) are a franchise cricket team representing the city of Kolkata in the Indian Premier League.
Empire Of The Kop|Anfield is a football stadium in Anfield, Liverpool, England which has a seating capacity of 54,074 making it the sixth largest football stadium in England.
Man United Zone|"""To Serve Man"" is episode 89 of the anthology series The Twilight Zone."
Liverpool FC Supporters Hong Kong|"""You'll Never Walk Alone"" is a show tune from the 1945 Rodgers and Hammerstein musical Carousel."
Royal Challengers Bangalore|The Royal Challengers Bangalore (often abbreviated as RCB) are a franchise cricket team based in Bangalore, Karnataka, that plays in the Indian Premier League (IPL).
Liverpool transfer news|The Liverpool News newspaper was priced at one penny and was one of the earliest newspapers in Liverpool, New South Wales, Australia.
Liverpool FC - You'll Never Walk Alone|"""You'll Never Walk Alone"" is a show tune from the 1945 Rodgers and Hammerstein musical Carousel."
Unstoppable LFC|"""Chico"" Camus (born January 26, 1985) is an American mixed martial artist who competed in the bantamweight division of the Ultimate Fighting Championship."
Liverpool FC India|Liverpool F.C. Reserves is the reserve team of Liverpool.
England football team|The England national football team represents England in international football and is controlled by The Football Association, the governing body for football in England.
Liverpool FC Transfer News.|Liverpool Football Club () is a professional association football club based in Liverpool, Merseyside, England.
LFC NEWS|LFCTV (Liverpool F.C. TV) is the dedicated official channel for English football club Liverpool F.C. which launched on 20 September 2007.
When I think of football, I think of Liverpool|They Think It's All Over is a British comedy panel game with a sporting theme produced by Talkback and shown on BBC1.
Liverpool Fans|Liverpool Football Club () is a professional association football club based in Liverpool, Merseyside, England.
Football legends|The Legends Football League (LFL) is a women's 7-on-7 tackle American football league, with games played in the spring and summer at NBA, NFL, NHL and MLS arenas and stadiums.
