Sachin Tendulkar|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
Muhammad Ali|Muhammad Ali (; born Cassius Marcellus Clay Jr.; January 17, 1942 – June 3, 2016) was an American professional boxer and activist.
Dipika Pallikal|Dipika Pallikal Karthik (née Pallikal; born 21 September 1991) is an Indian squash player.
Satnam Singh|Satnam Singh Bhamara (born December 10, 1995) is an Indian professional basketball player for the Texas Legends of the NBA G League.
Gutta Jwala|Jwala Gutta (born 7 September 1983) is a left-handed Indian badminton player.
Rohit Sharma|Rohit Gurunath Sharma (born 30 April 1987) is an Indian cricketer.
MC Mary Kom|Chungneijang Mery Kom Hmangte (born 24 November 1982), better known as Mary Kom, is an Olympic Indian boxer hailing from the Kom tribe in Manipur.
Giuliano Stroe|Giuliano Stroe (born June 18, 2004) is a Romanian gymnast and child bodybuilder.
Virender Sehwag|Virender Sehwag  pronunciation  (born 20 October 1978) is a former Indian cricketer, and a former captain, who played all forms of the game for fourteen years.
Kobe Bryant|Kobe Bean Bryant (born August 23, 1978) is an American retired professional basketball player and businessman.
Daniel Bryan|Bryan Lloyd Danielson (born May 22, 1981), better known under the ring name Daniel Bryan, is an American inactive professional wrestler currently signed to WWE as the on-screen general manager of SmackDown.
Matthew Hayden|Matthew Lawrence Hayden AM (born 29 October 1971) is a former Australian cricketer, who played all three forms of the game.
Sachin Tendulkar|Sachin Ramesh Tendulkar (; born 24 April 1973) is a former Indian cricketer and a former captain, widely regarded as one of the greatest batsmen of all time.
Tiger Woods|"Eldrick Tont ""Tiger"" Woods (born December 30, 1975) is an American professional golfer who is among the most successful golfers of all time."
